order_id,crm_deal_id,customer_id,sku,quantity,unit_price,currency,order_date,invoice_date,country_code,amount
ORD-00256,,CUST-0213,SKU-0014,17,465.41,USD,2025-12-31,2026-01-04,ES,7911.97
ORD-00132,,CUST-0032,SKU-0027,12,163.25,USD,2025-10-16,2025-10-16,IT,1959.0
ORD-00082,DEAL-00119,CUST-0296,SKU-0009,3,7243.68,EUR,2025-08-15,2025-08-20,IT,21731.04
ORD-00164,,CUST-0132,SKU-0025,18,999.18,EUR,2025-12-17,2025-12-19,ES,17985.24
ORD-00125,,CUST-0166,SKU-0030,4,317.93,PLN,2025-03-13,2025-03-16,PL,1271.72
ORD-00027,DEAL-00090,CUST-0123,SKU-0010,15,380.93,EUR,2025-07-15,2025-07-19,ES,5713.95
ORD-00017,DEAL-00061,CUST-0042,SKU-0019,20,54.37,PLN,2025-04-28,2025-04-30,FR,1087.4
ORD-00263,,CUST-0220,SKU-0009,4,1168.57,USD,2025-01-16,2025-01-18,PL,4674.28
ORD-00047,DEAL-00087,CUST-0181,SKU-0018,11,795.41,EUR,2025-01-16,2025-01-16,DE,8749.51
ORD-00154,,CUST-0231,SKU-0028,9,344.84,EUR,2025-11-28,2025-11-28,PL,3103.56
ORD-00068,DEAL-00008,CUST-0164,SKU-0022,6,2759.78,PLN,2025-02-08,2025-02-08,PL,16558.68
ORD-00124,,CUST-0264,SKU-0011,20,1291.41,PLN,2025-07-27,2025-07-30,ES,25828.2
ORD-00080,DEAL-00154,CUST-0298,SKU-0005,17,95.76,PLN,2025-06-04,2025-06-08,FR,1627.92
ORD-00085,DEAL-00085,CUST-0038,SKU-0023,13,598.16,EUR,2025-01-06,2025-01-09,IT,7776.08
ORD-00144,,CUST-0009,SKU-0008,2,1223.74,PLN,2025-08-03,2025-08-07,PL,2447.48
ORD-00267,,CUST-0077,SKU-0006,8,116.67,PLN,2025-07-06,2025-07-09,IT,933.36
ORD-00051,DEAL-00048,CUST-0019,SKU-0025,13,1603.64,EUR,2025-03-25,2025-03-27,IT,20847.32
ORD-00006,DEAL-00110,CUST-0156,SKU-0026,16,1134.35,PLN,2025-05-02,2025-05-07,IT,18149.6
ORD-00201,,CUST-0275,SKU-0020,14,838.29,USD,2025-07-04,2025-07-09,PL,11736.06
ORD-00072,DEAL-00056,CUST-0067,SKU-0020,12,471.08,EUR,2025-01-24,2025-01-28,FR,5652.96
ORD-00230,,CUST-0087,SKU-0011,12,821.81,USD,2025-11-02,2025-11-06,FR,9861.72
ORD-00018,DEAL-00152,CUST-0201,SKU-0005,12,115.34,USD,2025-09-09,2025-09-14,FR,1384.08
ORD-00100,DEAL-00073,CUST-0171,SKU-0026,2,9011.46,USD,2025-12-06,2025-12-07,FR,18022.92
ORD-00150,,CUST-0196,SKU-0026,18,768.65,USD,2025-06-26,2025-07-01,FR,13835.7
ORD-00231,,CUST-0049,SKU-0005,10,880.47,EUR,2025-09-21,2025-09-26,PL,8804.7
ORD-00141,,CUST-0271,SKU-0005,4,308.79,USD,2025-10-03,2025-10-06,DE,1235.16
ORD-00012,DEAL-00132,CUST-0089,SKU-0002,11,280.16,USD,2025-06-14,2025-06-18,ES,3081.76
ORD-00016,DEAL-00040,CUST-0130,SKU-0024,18,813.33,PLN,2025-04-25,2025-04-27,FR,14639.94
ORD-00099,DEAL-00190,CUST-0102,SKU-0020,11,795.5,PLN,2025-02-05,2025-02-06,ES,8750.5
ORD-00250,,CUST-0146,SKU-0025,9,984.7,USD,2025-05-08,2025-05-12,PL,8862.3
ORD-00101,DEAL-00029,CUST-0164,SKU-0006,5,3683.61,USD,2025-02-07,2025-02-09,PL,18418.05
ORD-00137,,CUST-0177,SKU-0023,7,888.55,PLN,2025-01-24,2025-01-27,IT,6219.85
ORD-00142,,CUST-0279,SKU-0014,1,1146.46,USD,2025-06-02,2025-06-05,ES,1146.46
ORD-00130,,CUST-0213,SKU-0023,5,709.72,USD,2025-11-07,2025-11-09,ES,3548.6
ORD-00143,,CUST-0142,SKU-0007,8,408.89,USD,2025-06-27,2025-06-28,PL,3271.12
ORD-00112,DEAL-94876,CUST-0251,SKU-0011,10,1072.11,EUR,2025-12-20,2025-12-25,FR,10721.1
ORD-00170,,CUST-0147,SKU-0001,1,817.66,USD,2025-05-21,2025-05-25,ES,817.66
ORD-00118,DEAL-96666,CUST-0165,SKU-0010,16,742.3,USD,2025-04-13,2025-04-15,PL,11876.8
ORD-00128,,CUST-0258,SKU-0030,15,494.87,USD,2025-07-27,2025-08-01,FR,7423.05
ORD-00186,,CUST-0221,SKU-0015,9,198.24,USD,2025-02-14,2025-02-15,IT,1784.16
ORD-00188,,CUST-0150,SKU-0014,20,1187.44,EUR,2025-07-17,2025-07-17,PL,23748.8
ORD-00035,DEAL-00045,CUST-0115,SKU-0001,13,1301.05,PLN,2025-07-22,2025-07-24,FR,16913.65
ORD-00077,DEAL-00100,CUST-0083,SKU-0011,5,4435.13,USD,2025-07-07,2025-07-08,ES,22175.65
ORD-00033,DEAL-00196,CUST-0231,SKU-0029,14,1009.63,PLN,2025-07-10,2025-07-11,PL,14134.82
ORD-00129,,CUST-0114,SKU-0008,4,976.13,PLN,2025-06-01,2025-06-03,ES,3904.52
