order_id,order_code,customer_id,sku_id,quantity,unit_price,total_value,channel,status,order_date,required_date,created_at
1,ORD-20230820-00001,2990,189,5,43.32,216.6,mobile_app,delivered,2023-08-20 12:13:00,2023-08-26 12:13:00,2023-08-20 12:13:00
2,ORD-20230623-00002,1454,475,4,69.62,278.48,mobile_app,delivered,2023-06-23 22:09:00,2023-06-26 22:09:00,2023-06-23 22:09:00
3,ORD-20230626-00003,4837,362,4,281.4,1125.6,website,delivered,2023-06-26 20:05:00,2023-07-02 20:05:00,2023-06-26 20:05:00
4,ORD-20231125-00004,4711,298,2,167.01,334.02,mobile_app,delivered,2023-11-25 17:30:00,2023-11-30 17:30:00,2023-11-25 17:30:00
5,ORD-20231023-00005,772,77,2,54.48,108.96,mobile_app,delivered,2023-10-23 16:21:00,2023-10-28 16:21:00,2023-10-23 16:21:00
6,ORD-20231116-00006,3514,76,2,49.07,98.14,mobile_app,shipped,2023-11-16 10:17:00,2023-11-22 10:17:00,2023-11-16 10:17:00
7,ORD-20230512-00007,331,22,4,254.74,1018.96,mobile_app,cancelled,2023-05-12 13:46:00,2023-05-18 13:46:00,2023-05-12 13:46:00
8,ORD-20231109-00008,4742,428,1,204.04,204.04,website,delivered,2023-11-09 08:57:00,2023-11-15 08:57:00,2023-11-09 08:57:00
9,ORD-20230224-00009,3930,298,3,167.01,501.03,website,delivered,2023-02-24 22:29:00,2023-03-03 22:29:00,2023-02-24 22:29:00
10,ORD-20230613-00010,4406,354,4,28.17,112.68,mobile_app,delivered,2023-06-13 19:37:00,2023-06-17 19:37:00,2023-06-13 19:37:00
11,ORD-20230301-00011,4806,9,3,94.93,284.79,website,delivered,2023-03-01 21:25:00,2023-03-07 21:25:00,2023-03-01 21:25:00
12,ORD-20230219-00012,867,486,3,132.68,398.04,website,shipped,2023-02-19 12:48:00,2023-02-26 12:48:00,2023-02-19 12:48:00
13,ORD-20230520-00013,1436,409,2,352.31,704.62,website,delivered,2023-05-20 22:46:00,2023-05-25 22:46:00,2023-05-20 22:46:00
14,ORD-20230114-00014,840,104,2,55.17,110.34,marketplace,shipped,2023-01-14 22:15:00,2023-01-21 22:15:00,2023-01-14 22:15:00
15,ORD-20230120-00015,1111,89,1,120.7,120.7,website,delivered,2023-01-20 10:42:00,2023-01-24 10:42:00,2023-01-20 10:42:00
16,ORD-20231017-00016,136,89,2,120.7,241.4,website,delivered,2023-10-17 14:55:00,2023-10-24 14:55:00,2023-10-17 14:55:00
17,ORD-20230614-00017,1473,149,4,293.28,1173.12,website,cancelled,2023-06-14 09:26:00,2023-06-18 09:26:00,2023-06-14 09:26:00
18,ORD-20231025-00018,2817,266,2,387.89,775.78,mobile_app,shipped,2023-10-25 22:31:00,2023-10-28 22:31:00,2023-10-25 22:31:00
19,ORD-20231107-00019,1206,217,4,61.21,244.84,website,delivered,2023-11-07 15:45:00,2023-11-09 15:45:00,2023-11-07 15:45:00
20,ORD-20230223-00020,556,145,3,15.03,45.09,mobile_app,delivered,2023-02-23 15:42:00,2023-02-28 15:42:00,2023-02-23 15:42:00
21,ORD-20231125-00021,3424,304,2,193.23,386.46,website,delivered,2023-11-25 19:01:00,2023-11-29 19:01:00,2023-11-25 19:01:00
22,ORD-20231111-00022,3811,71,5,119.79,598.95,website,delivered,2023-11-11 22:54:00,2023-11-13 22:54:00,2023-11-11 22:54:00
23,ORD-20230807-00023,2254,146,5,299.27,1496.35,website,delivered,2023-08-07 20:44:00,2023-08-11 20:44:00,2023-08-07 20:44:00
24,ORD-20230519-00024,2468,182,2,278.27,556.54,marketplace,delivered,2023-05-19 19:59:00,2023-05-26 19:59:00,2023-05-19 19:59:00
25,ORD-20230728-00025,3608,232,3,236.4,709.2,website,delivered,2023-07-28 16:15:00,2023-07-30 16:15:00,2023-07-28 16:15:00
