inventory_id,sku_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,last_updated
1,1,886,132,754,89,2023-12-31
2,3,819,86,733,82,2023-12-31
3,4,337,43,294,19,2023-12-31
4,5,1070,227,843,113,2023-12-31
5,7,1235,162,1073,25,2023-12-31
6,8,155,41,114,44,2023-12-31
7,9,991,207,784,100,2023-12-31
8,10,145,42,103,199,2023-12-31
9,11,480,99,381,42,2023-12-31
10,12,723,105,618,18,2023-12-31
11,13,147,43,104,19,2023-12-31
12,14,482,143,339,38,2023-12-31
13,16,318,70,248,108,2023-12-31
14,17,877,197,680,29,2023-12-31
15,18,316,36,280,114,2023-12-31
16,19,1161,199,962,88,2023-12-31
17,22,1169,307,862,126,2023-12-31
18,23,844,102,742,36,2023-12-31
19,25,1358,378,980,25,2023-12-31
20,26,640,69,571,70,2023-12-31
21,28,525,106,419,11,2023-12-31
22,29,1209,340,869,146,2023-12-31
23,30,710,141,569,49,2023-12-31
24,31,542,64,478,140,2023-12-31
25,32,800,219,581,27,2023-12-31
26,33,1245,131,1114,35,2023-12-31
27,35,796,214,582,40,2023-12-31
28,36,879,245,634,195,2023-12-31
29,37,531,66,465,88,2023-12-31
30,38,641,137,504,12,2023-12-31
31,39,479,100,379,50,2023-12-31
32,40,362,69,293,16,2023-12-31
33,41,677,104,573,36,2023-12-31
34,42,1147,233,914,113,2023-12-31
35,43,144,38,106,35,2023-12-31
36,44,205,46,159,84,2023-12-31
37,45,515,114,401,89,2023-12-31
38,46,539,129,410,49,2023-12-31
39,47,784,164,620,82,2023-12-31
40,48,710,151,559,30,2023-12-31
41,50,620,104,516,70,2023-12-31
42,51,229,27,202,178,2023-12-31
43,53,1060,250,810,93,2023-12-31
44,55,976,291,685,34,2023-12-31
45,56,1128,313,815,17,2023-12-31
46,58,542,61,481,13,2023-12-31
47,59,739,107,632,84,2023-12-31
48,60,805,210,595,30,2023-12-31
49,61,1057,158,899,18,2023-12-31
50,62,692,83,609,174,2023-12-31
51,63,1179,205,974,41,2023-12-31
52,64,1043,105,938,88,2023-12-31
53,65,124,19,105,69,2023-12-31
54,66,915,269,646,61,2023-12-31
55,67,512,81,431,27,2023-12-31
56,68,760,195,565,49,2023-12-31
57,69,852,159,693,76,2023-12-31
58,70,373,61,312,66,2023-12-31
59,71,747,76,671,70,2023-12-31
60,72,1022,279,743,98,2023-12-31
61,73,288,48,240,103,2023-12-31
62,74,500,128,372,99,2023-12-31
63,76,1126,329,797,42,2023-12-31
64,77,1097,286,811,77,2023-12-31
65,78,575,85,490,200,2023-12-31
66,79,903,234,669,100,2023-12-31
67,80,457,123,334,36,2023-12-31
68,81,660,110,550,53,2023-12-31
69,82,498,89,409,88,2023-12-31
70,84,1487,251,1236,50,2023-12-31
71,85,94,12,82,57,2023-12-31
72,86,756,98,658,98,2023-12-31
73,87,608,112,496,161,2023-12-31
74,88,465,75,390,30,2023-12-31
75,89,308,68,240,149,2023-12-31
76,90,153,17,136,16,2023-12-31
77,91,1513,179,1334,44,2023-12-31
78,92,213,55,158,181,2023-12-31
79,93,485,49,436,16,2023-12-31
80,94,1009,196,813,75,2023-12-31
81,95,765,185,580,22,2023-12-31
82,96,727,199,528,48,2023-12-31
83,97,440,121,319,78,2023-12-31
84,98,237,67,170,134,2023-12-31
85,99,1210,361,849,26,2023-12-31
86,100,1251,338,913,14,2023-12-31
87,101,174,22,152,60,2023-12-31
88,102,223,31,192,64,2023-12-31
89,103,347,58,289,72,2023-12-31
90,104,1177,289,888,84,2023-12-31
91,106,870,167,703,20,2023-12-31
92,107,288,50,238,82,2023-12-31
93,108,1647,266,1381,92,2023-12-31
94,109,906,216,690,30,2023-12-31
95,110,310,85,225,27,2023-12-31
96,112,216,23,193,77,2023-12-31
97,113,261,42,219,68,2023-12-31
98,114,722,121,601,118,2023-12-31
99,116,208,25,183,59,2023-12-31
100,118,601,94,507,41,2023-12-31
101,119,1006,237,769,15,2023-12-31
102,120,623,118,505,23,2023-12-31
103,121,779,115,664,91,2023-12-31
104,123,878,173,705,45,2023-12-31
105,124,1760,365,1395,14,2023-12-31
106,125,453,126,327,95,2023-12-31
107,126,93,21,72,48,2023-12-31
108,127,291,74,217,26,2023-12-31
109,128,1097,181,916,181,2023-12-31
110,129,683,121,562,70,2023-12-31
111,131,1602,321,1281,49,2023-12-31
112,132,524,146,378,29,2023-12-31
113,133,698,71,627,50,2023-12-31
114,134,2107,522,1585,35,2023-12-31
115,135,761,143,618,42,2023-12-31
116,136,699,196,503,154,2023-12-31
117,137,703,109,594,33,2023-12-31
118,138,436,66,370,44,2023-12-31
119,139,139,19,120,14,2023-12-31
120,140,1228,239,989,179,2023-12-31
121,141,449,108,341,56,2023-12-31
122,142,679,155,524,30,2023-12-31
123,143,332,49,283,19,2023-12-31
124,144,1585,328,1257,164,2023-12-31
125,145,585,160,425,194,2023-12-31
126,146,2145,458,1687,154,2023-12-31
127,148,146,29,117,119,2023-12-31
128,149,469,52,417,80,2023-12-31
129,150,313,75,238,56,2023-12-31
130,152,721,193,528,26,2023-12-31
131,153,672,117,555,48,2023-12-31
132,154,500,104,396,26,2023-12-31
133,155,430,58,372,63,2023-12-31
134,156,1259,289,970,78,2023-12-31
135,157,130,26,104,86,2023-12-31
136,159,624,81,543,114,2023-12-31
137,160,548,109,439,60,2023-12-31
138,161,1273,180,1093,42,2023-12-31
139,162,1159,330,829,191,2023-12-31
140,163,1009,287,722,17,2023-12-31
141,165,545,59,486,21,2023-12-31
142,166,2181,318,1863,14,2023-12-31
143,167,1545,368,1177,79,2023-12-31
144,168,424,74,350,105,2023-12-31
145,170,964,258,706,92,2023-12-31
146,171,604,171,433,80,2023-12-31
147,172,164,20,144,55,2023-12-31
148,173,183,25,158,15,2023-12-31
149,174,271,42,229,65,2023-12-31
150,175,658,103,555,25,2023-12-31
151,176,257,58,199,87,2023-12-31
152,177,1101,276,825,80,2023-12-31
153,178,303,55,248,45,2023-12-31
154,179,1059,241,818,29,2023-12-31
155,180,330,59,271,16,2023-12-31
156,182,382,40,342,96,2023-12-31
157,184,611,116,495,75,2023-12-31
158,185,1402,141,1261,47,2023-12-31
159,186,494,86,408,71,2023-12-31
160,187,524,147,377,37,2023-12-31
161,188,441,129,312,37,2023-12-31
162,189,92,14,78,109,2023-12-31
163,190,255,72,183,138,2023-12-31
164,191,347,83,264,128,2023-12-31
165,192,1131,295,836,70,2023-12-31
166,193,1067,191,876,67,2023-12-31
167,194,1010,195,815,10,2023-12-31
168,195,1512,262,1250,22,2023-12-31
169,196,388,72,316,28,2023-12-31
170,197,655,138,517,46,2023-12-31
171,198,488,103,385,60,2023-12-31
172,199,211,46,165,50,2023-12-31
173,200,817,119,698,45,2023-12-31
174,201,226,46,180,17,2023-12-31
175,202,747,145,602,41,2023-12-31
176,204,1047,268,779,11,2023-12-31
177,205,508,88,420,77,2023-12-31
178,206,1231,212,1019,39,2023-12-31
179,207,310,86,224,102,2023-12-31
180,208,418,61,357,18,2023-12-31
181,209,318,59,259,189,2023-12-31
182,210,524,100,424,46,2023-12-31
183,211,895,189,706,123,2023-12-31
184,212,1615,259,1356,85,2023-12-31
185,213,558,140,418,18,2023-12-31
186,214,276,79,197,33,2023-12-31
187,216,634,105,529,57,2023-12-31
188,217,827,163,664,95,2023-12-31
189,218,202,47,155,81,2023-12-31
190,219,365,64,301,14,2023-12-31
191,220,1225,146,1079,45,2023-12-31
192,221,762,98,664,47,2023-12-31
193,222,636,114,522,27,2023-12-31
194,223,245,33,212,88,2023-12-31
195,224,920,153,767,38,2023-12-31
