po_id,supplier_id,sku_id,ordered_qty,unit_cost,status,order_date,expected_date,actual_date,created_at
1,1,474,328,166.88,received,2023-02-08,2023-02-10,2023-02-10,2023-02-08
2,10,337,58,76.6,received,2023-01-17,2023-01-26,2023-01-26,2023-01-17
3,4,301,89,158.96,received,2023-03-15,2023-03-23,2023-03-24,2023-03-15
4,5,84,396,30.39,received,2023-10-16,2023-10-21,2023-10-22,2023-10-16
5,15,277,454,78.43,received,2023-06-19,2023-06-26,2023-06-25,2023-06-19
6,12,371,77,17.69,received,2023-02-10,2023-02-14,2023-02-14,2023-02-10
7,2,224,359,80.38,received,2023-04-29,2023-05-04,2023-05-04,2023-04-29
8,13,315,65,289.71,received,2023-11-01,2023-12-01,2023-12-01,2023-11-01
9,11,140,333,37.52,received,2023-08-19,2023-08-21,2023-08-21,2023-08-19
10,7,222,93,19.14,received,2023-04-06,2023-04-13,2023-04-14,2023-04-06
11,13,317,92,345.75,received,2023-06-01,2023-07-01,2023-07-06,2023-06-01
12,5,79,428,370.96,received,2023-07-14,2023-07-19,2023-07-18,2023-07-14
13,7,163,207,106.24,received,2023-07-04,2023-07-11,2023-07-09,2023-07-04
14,8,185,145,122.62,received,2023-05-19,2023-06-14,2023-06-12,2023-05-19
15,7,230,102,65.35,received,2023-10-13,2023-10-20,2023-10-21,2023-10-13
16,1,46,492,349.76,received,2023-07-01,2023-07-03,2023-07-03,2023-07-01
17,7,7,421,52.32,received,2023-05-30,2023-06-06,2023-06-04,2023-05-30
18,15,287,400,59.92,received,2023-05-05,2023-05-12,2023-05-11,2023-05-05
19,7,87,302,66.4,received,2023-03-13,2023-03-20,2023-03-20,2023-03-13
20,3,33,203,22.14,received,2023-03-27,2023-04-20,2023-04-21,2023-03-27
21,8,401,419,18.57,received,2023-02-09,2023-03-07,2023-03-06,2023-02-09
22,11,254,104,51.37,received,2023-11-01,2023-11-03,2023-11-04,2023-11-01
23,3,156,480,11.24,received,2023-01-04,2023-01-28,2023-02-10,2023-01-04
24,10,195,467,66.54,received,2023-06-18,2023-06-27,2023-06-28,2023-06-18
25,14,441,203,45.45,received,2023-11-30,2023-12-10,2023-12-17,2023-11-30
26,6,309,140,124.39,received,2023-12-22,2023-12-25,2023-12-25,2023-12-22
27,7,496,344,138.81,received,2023-06-13,2023-06-20,2023-06-21,2023-06-13
28,13,125,236,60.03,received,2023-06-16,2023-07-16,2023-07-17,2023-06-16
29,2,478,399,211.66,received,2023-10-16,2023-10-21,2023-10-20,2023-10-16
30,13,282,412,19.16,received,2023-01-14,2023-02-13,2023-03-02,2023-01-14
31,4,225,469,51.25,received,2023-05-30,2023-06-07,2023-06-05,2023-05-30
32,14,408,374,37.55,received,2023-07-29,2023-08-08,2023-08-07,2023-07-29
33,5,124,454,187.37,received,2023-05-10,2023-05-15,2023-05-16,2023-05-10
34,7,38,348,148.28,received,2023-08-18,2023-08-25,2023-09-12,2023-08-18
35,7,274,328,46.29,received,2023-09-17,2023-09-24,2023-10-10,2023-09-17
36,1,405,105,40.21,received,2023-07-04,2023-07-06,2023-07-04,2023-07-04
37,13,128,381,141.45,received,2023-12-03,2024-01-02,2024-01-01,2023-12-03
38,10,23,435,168.23,received,2023-10-16,2023-10-25,2023-11-09,2023-10-16
39,6,495,182,39.0,received,2023-08-09,2023-08-12,2023-08-10,2023-08-09
40,4,262,278,281.19,received,2023-09-23,2023-10-01,2023-09-30,2023-09-23
41,6,201,226,111.14,received,2023-08-26,2023-08-29,2023-08-28,2023-08-26
