sku_id,sku_code,product_name,category,unit_cost,unit_price,weight_kg,abc_class,supplier_id,created_at
1,SKU-0001,Electronics Product 0001,Electronics,241.97,439.94,2.036,B,11,2023-01-01
2,SKU-0002,Clothing Product 0002,Clothing,34.22,85.56,0.149,A,11,2023-01-01
3,SKU-0003,Home & Garden Product 0003,Home & Garden,86.67,192.6,3.384,B,2,2023-01-01
4,SKU-0004,Home & Garden Product 0004,Home & Garden,71.79,159.53,3.401,C,6,2023-01-01
5,SKU-0005,Sports Product 0005,Sports,143.22,286.45,1.752,A,4,2023-01-01
6,SKU-0006,Sports Product 0006,Sports,137.18,274.35,1.262,C,12,2023-01-01
7,SKU-0007,Clothing Product 0007,Clothing,52.32,130.79,0.311,C,9,2023-01-01
8,SKU-0008,Electronics Product 0008,Electronics,152.85,277.91,0.604,C,13,2023-01-01
9,SKU-0009,Beauty Product 0009,Beauty,33.23,94.93,0.195,A,8,2023-01-01
10,SKU-0010,Sports Product 0010,Sports,139.18,278.36,1.631,A,13,2023-01-01
11,SKU-0011,Clothing Product 0011,Clothing,55.44,138.59,0.299,C,11,2023-01-01
12,SKU-0012,Beauty Product 0012,Beauty,19.93,56.93,0.418,C,13,2023-01-01
13,SKU-0013,Clothing Product 0013,Clothing,56.44,141.1,0.257,C,4,2023-01-01
14,SKU-0014,Clothing Product 0014,Clothing,9.76,24.4,0.271,C,8,2023-01-01
15,SKU-0015,Beauty Product 0015,Beauty,45.14,128.96,0.083,A,7,2023-01-01
16,SKU-0016,Beauty Product 0016,Beauty,13.03,37.22,0.363,A,8,2023-01-01
17,SKU-0017,Sports Product 0017,Sports,58.24,116.49,2.037,C,1,2023-01-01
18,SKU-0018,Electronics Product 0018,Electronics,348.6,633.82,0.625,A,13,2023-01-01
19,SKU-0019,Beauty Product 0019,Beauty,26.26,75.04,0.301,B,15,2023-01-01
20,SKU-0020,Electronics Product 0020,Electronics,215.79,392.35,2.023,C,11,2023-01-01
21,SKU-0021,Beauty Product 0021,Beauty,51.91,148.3,0.318,C,13,2023-01-01
22,SKU-0022,Sports Product 0022,Sports,127.37,254.74,2.214,A,9,2023-01-01
23,SKU-0023,Sports Product 0023,Sports,168.23,336.46,1.734,C,15,2023-01-01
24,SKU-0024,Clothing Product 0024,Clothing,61.54,153.86,0.432,C,5,2023-01-01
25,SKU-0025,Clothing Product 0025,Clothing,68.47,171.18,0.294,C,13,2023-01-01
26,SKU-0026,Beauty Product 0026,Beauty,27.24,77.84,0.158,B,8,2023-01-01
27,SKU-0027,Electronics Product 0027,Electronics,321.84,585.16,0.663,B,6,2023-01-01
28,SKU-0028,Home & Garden Product 0028,Home & Garden,121.28,269.51,0.587,C,3,2023-01-01
29,SKU-0029,Clothing Product 0029,Clothing,35.58,88.95,0.207,A,4,2023-01-01
30,SKU-0030,Electronics Product 0030,Electronics,198.63,361.15,0.894,C,8,2023-01-01
31,SKU-0031,Sports Product 0031,Sports,24.18,48.35,2.532,A,7,2023-01-01
32,SKU-0032,Beauty Product 0032,Beauty,49.86,142.45,0.059,C,15,2023-01-01
33,SKU-0033,Beauty Product 0033,Beauty,22.14,63.25,0.053,C,6,2023-01-01
34,SKU-0034,Home & Garden Product 0034,Home & Garden,103.38,229.74,4.297,C,14,2023-01-01
35,SKU-0035,Sports Product 0035,Sports,113.42,226.83,2.257,C,13,2023-01-01
36,SKU-0036,Beauty Product 0036,Beauty,47.49,135.69,0.27,A,5,2023-01-01
37,SKU-0037,Sports Product 0037,Sports,103.56,207.12,1.289,B,11,2023-01-01
38,SKU-0038,Sports Product 0038,Sports,148.28,296.57,2.553,C,15,2023-01-01
39,SKU-0039,Clothing Product 0039,Clothing,78.61,196.53,0.474,B,15,2023-01-01
40,SKU-0040,Sports Product 0040,Sports,123.48,246.96,2.056,C,2,2023-01-01
41,SKU-0041,Sports Product 0041,Sports,37.95,75.89,1.493,C,1,2023-01-01
42,SKU-0042,Home & Garden Product 0042,Home & Garden,55.37,123.04,1.216,A,6,2023-01-01
43,SKU-0043,Home & Garden Product 0043,Home & Garden,104.38,231.95,2.02,C,13,2023-01-01
44,SKU-0044,Sports Product 0044,Sports,59.8,119.6,0.429,B,1,2023-01-01
45,SKU-0045,Beauty Product 0045,Beauty,6.05,17.29,0.478,B,4,2023-01-01
46,SKU-0046,Electronics Product 0046,Electronics,349.76,635.92,1.664,C,13,2023-01-01
47,SKU-0047,Electronics Product 0047,Electronics,419.22,762.21,0.578,B,1,2023-01-01
48,SKU-0048,Beauty Product 0048,Beauty,10.97,31.33,0.107,C,11,2023-01-01
49,SKU-0049,Electronics Product 0049,Electronics,260.14,472.98,0.623,C,12,2023-01-01
50,SKU-0050,Home & Garden Product 0050,Home & Garden,105.11,233.57,1.005,B,10,2023-01-01
51,SKU-0051,Electronics Product 0051,Electronics,348.34,633.34,0.493,A,5,2023-01-01
52,SKU-0052,Electronics Product 0052,Electronics,266.21,484.01,2.329,B,10,2023-01-01
53,SKU-0053,Sports Product 0053,Sports,86.88,173.75,2.202,B,2,2023-01-01
54,SKU-0054,Beauty Product 0054,Beauty,37.34,106.69,0.332,B,2,2023-01-01
55,SKU-0055,Home & Garden Product 0055,Home & Garden,115.8,257.33,3.082,C,2,2023-01-01
