pick_id,order_id,employee_id,sku_id,qty_requested,qty_picked,is_correct,error_type,started_at,completed_at,lines_picked,created_at
1,1,14,189,5,5,True,,2023-08-20 15:34:00,2023-08-20 15:40:00,1,2023-08-20 15:34:00
2,2,24,475,4,4,True,,2023-06-24 01:55:00,2023-06-24 02:12:00,1,2023-06-24 01:55:00
3,3,12,362,4,4,True,,2023-06-27 00:50:00,2023-06-27 01:15:00,1,2023-06-27 00:50:00
4,4,7,298,2,2,True,,2023-11-25 19:05:00,2023-11-25 19:23:00,1,2023-11-25 19:05:00
5,5,21,77,2,2,True,,2023-10-23 17:53:00,2023-10-23 18:13:00,1,2023-10-23 17:53:00
6,6,2,76,2,2,True,,2023-11-16 11:24:00,2023-11-16 11:35:00,1,2023-11-16 11:24:00
7,8,25,428,1,1,True,,2023-11-09 11:28:00,2023-11-09 11:52:00,1,2023-11-09 11:28:00
8,9,14,298,3,3,True,,2023-02-25 01:46:00,2023-02-25 01:57:00,1,2023-02-25 01:46:00
9,10,17,354,4,4,True,,2023-06-13 23:46:00,2023-06-14 00:03:00,1,2023-06-13 23:46:00
10,11,20,9,3,3,True,,2023-03-02 01:53:00,2023-03-02 02:20:00,1,2023-03-02 01:53:00
11,12,17,486,3,3,True,,2023-02-19 17:08:00,2023-02-19 17:13:00,1,2023-02-19 17:08:00
12,13,13,409,2,2,True,,2023-05-21 02:21:00,2023-05-21 02:39:00,1,2023-05-21 02:21:00
13,14,6,104,2,2,True,,2023-01-15 02:24:00,2023-01-15 02:38:00,1,2023-01-15 02:24:00
14,15,12,89,1,1,True,,2023-01-20 11:54:00,2023-01-20 12:08:00,1,2023-01-20 11:54:00
15,16,16,89,2,2,True,,2023-10-17 18:14:00,2023-10-17 18:30:00,1,2023-10-17 18:14:00
16,18,25,266,2,2,True,,2023-10-25 23:50:00,2023-10-26 00:17:00,1,2023-10-25 23:50:00
17,19,10,217,4,4,True,,2023-11-07 18:35:00,2023-11-07 18:53:00,1,2023-11-07 18:35:00
18,20,18,145,3,3,True,,2023-02-23 18:34:00,2023-02-23 18:53:00,1,2023-02-23 18:34:00
19,21,19,304,2,2,True,,2023-11-25 20:05:00,2023-11-25 20:22:00,1,2023-11-25 20:05:00
20,22,25,71,5,5,True,,2023-11-12 01:14:00,2023-11-12 01:19:00,1,2023-11-12 01:14:00
