receiving_id,po_id,sku_id,employee_id,received_qty,damaged_qty,received_at,putaway_at,location_code,notes,created_at
1,1,474,29,328,3,2023-02-10 01:00:00,2023-02-10 05:00:00,D-03-02,,2023-02-10 01:00:00
2,2,337,35,58,0,2023-01-26 01:00:00,2023-01-26 02:00:00,D-14-01,,2023-01-26 01:00:00
3,3,301,31,89,2,2023-03-24 03:00:00,2023-03-24 07:00:00,A-16-02,,2023-03-24 03:00:00
4,4,84,27,364,5,2023-10-22 02:00:00,2023-10-22 04:00:00,E-20-04,,2023-10-22 02:00:00
5,5,277,27,454,7,2023-06-25 01:00:00,2023-06-25 02:00:00,A-13-03,,2023-06-25 01:00:00
6,6,371,27,77,0,2023-02-14 04:00:00,2023-02-14 05:00:00,C-20-04,,2023-02-14 04:00:00
7,7,224,35,359,0,2023-05-04 01:00:00,2023-05-04 06:00:00,D-13-01,,2023-05-04 01:00:00
8,8,315,35,65,0,2023-12-01 01:00:00,2023-12-01 09:00:00,D-15-04,,2023-12-01 01:00:00
9,9,140,29,333,3,2023-08-21 01:00:00,2023-08-21 09:00:00,E-11-05,,2023-08-21 01:00:00
10,10,222,30,93,0,2023-04-14 01:00:00,2023-04-14 05:00:00,E-05-05,,2023-04-14 01:00:00
11,11,317,26,92,1,2023-07-06 04:00:00,2023-07-06 07:00:00,B-05-01,,2023-07-06 04:00:00
12,12,79,28,428,7,2023-07-18 03:00:00,2023-07-18 08:00:00,E-18-02,,2023-07-18 03:00:00
13,13,163,28,207,3,2023-07-09 03:00:00,2023-07-09 09:00:00,A-17-05,,2023-07-09 03:00:00
14,14,185,29,145,2,2023-06-12 01:00:00,2023-06-12 08:00:00,C-07-02,,2023-06-12 01:00:00
15,15,230,35,102,1,2023-10-21 04:00:00,2023-10-21 12:00:00,E-11-05,,2023-10-21 04:00:00
16,16,46,29,413,5,2023-07-03 02:00:00,2023-07-03 04:00:00,D-02-04,,2023-07-03 02:00:00
17,17,7,32,357,7,2023-06-04 04:00:00,2023-06-04 08:00:00,B-16-03,,2023-06-04 04:00:00
18,18,287,26,400,2,2023-05-11 01:00:00,2023-05-11 07:00:00,A-03-03,,2023-05-11 01:00:00
19,19,87,26,302,1,2023-03-20 04:00:00,2023-03-20 08:00:00,E-12-01,,2023-03-20 04:00:00
20,20,33,29,203,1,2023-04-21 02:00:00,2023-04-21 07:00:00,B-11-05,,2023-04-21 02:00:00
21,21,401,27,419,0,2023-03-06 03:00:00,2023-03-06 05:00:00,A-05-04,,2023-03-06 03:00:00
22,22,254,34,104,0,2023-11-04 04:00:00,2023-11-04 08:00:00,C-12-02,,2023-11-04 04:00:00
23,23,156,29,474,12,2023-02-10 01:00:00,2023-02-10 03:00:00,B-05-02,,2023-02-10 01:00:00
