shipment_id,order_id,carrier,tracking_number,shipping_cost,weight_kg,ship_date,estimated_date,actual_date,sla_days,is_on_time,created_at
1,1,UPS,UPS-134718007,21.29,17.955,2023-08-20 21:40:00,2023-08-22 21:40:00,2023-08-22 18:40:00,2,True,2023-08-20 21:40:00
2,2,DPD,DPD-673399341,16.56,3.524,2023-06-24 09:12:00,2023-06-26 09:12:00,2023-06-26 06:12:00,2,True,2023-06-24 09:12:00
3,3,DPD,DPD-343237295,14.53,5.628,2023-06-27 06:15:00,2023-06-29 06:15:00,2023-06-28 18:15:00,2,True,2023-06-27 06:15:00
4,4,DPD,DPD-512269574,17.33,1.938,2023-11-26 00:23:00,2023-11-28 00:23:00,2023-11-27 15:23:00,2,True,2023-11-26 00:23:00
5,5,InPost,InPost-191905487,13.88,1.734,2023-10-23 23:13:00,2023-10-25 23:13:00,2023-10-25 22:13:00,2,True,2023-10-23 23:13:00
6,6,UPS,UPS-337787497,16.57,6.044,2023-11-16 13:35:00,2023-11-18 13:35:00,2023-11-18 05:35:00,2,True,2023-11-16 13:35:00
7,8,DPD,DPD-286187736,15.9,1.258,2023-11-09 16:52:00,2023-11-11 16:52:00,2023-11-11 06:52:00,2,True,2023-11-09 16:52:00
8,9,DHL,DHL-154822703,13.47,2.657,2023-02-25 07:57:00,2023-02-28 07:57:00,2023-03-01 07:57:00,3,False,2023-02-25 07:57:00
9,10,DPD,DPD-449068707,8.0,2.292,2023-06-14 07:03:00,2023-06-16 07:03:00,2023-06-16 02:03:00,2,True,2023-06-14 07:03:00
10,11,DHL,DHL-613206339,22.84,1.085,2023-03-02 08:20:00,2023-03-04 08:20:00,2023-03-04 04:20:00,2,True,2023-03-02 08:20:00
11,12,InPost,InPost-996178822,12.19,1.697,2023-02-19 23:13:00,2023-02-21 23:13:00,2023-02-21 21:13:00,2,True,2023-02-19 23:13:00
12,13,DPD,DPD-828337872,8.38,5.02,2023-05-21 09:39:00,2023-05-23 09:39:00,2023-05-23 06:39:00,2,True,2023-05-21 09:39:00
13,14,InPost,InPost-788038360,13.66,1.124,2023-01-15 05:38:00,2023-01-17 05:38:00,2023-01-16 22:38:00,2,True,2023-01-15 05:38:00
14,15,DPD,DPD-255486098,17.47,0.652,2023-01-20 19:08:00,2023-01-23 19:08:00,2023-01-23 13:08:00,3,True,2023-01-20 19:08:00
15,16,DPD,DPD-370019131,13.05,0.804,2023-10-17 20:30:00,2023-10-19 20:30:00,2023-10-19 15:30:00,2,True,2023-10-17 20:30:00
16,18,InPost,InPost-209695213,9.75,4.592,2023-10-26 02:17:00,2023-10-28 02:17:00,2023-10-27 16:17:00,2,True,2023-10-26 02:17:00
17,19,DPD,DPD-401679705,12.72,9.576,2023-11-08 01:53:00,2023-11-10 01:53:00,2023-11-09 16:53:00,2,True,2023-11-08 01:53:00
18,20,UPS,UPS-493271772,32.21,0.743,2023-02-23 21:53:00,2023-02-25 21:53:00,2023-02-25 18:53:00,2,True,2023-02-23 21:53:00
19,21,UPS,UPS-655923258,21.27,0.93,2023-11-26 02:22:00,2023-11-28 02:22:00,2023-11-27 18:22:00,2,True,2023-11-26 02:22:00
20,22,DPD,DPD-371109850,8.68,3.66,2023-11-12 08:19:00,2023-11-14 08:19:00,2023-11-14 07:19:00,2,True,2023-11-12 08:19:00
21,23,DPD,DPD-373120851,13.56,19.42,2023-08-08 00:19:00,2023-08-10 00:19:00,2023-08-09 16:19:00,2,True,2023-08-08 00:19:00
22,24,DPD,DPD-280271570,12.67,3.064,2023-05-20 02:27:00,2023-05-23 02:27:00,2023-05-22 14:27:00,3,True,2023-05-20 02:27:00
23,25,DPD,DPD-751094516,13.9,9.272,2023-07-28 21:07:00,2023-07-30 21:07:00,2023-07-30 15:07:00,2,True,2023-07-28 21:07:00
24,26,InPost,InPost-195462219,10.97,5.205,2023-12-09 13:24:00,2023-12-11 13:24:00,2023-12-11 02:24:00,2,True,2023-12-09 13:24:00
25,28,DHL,DHL-221990115,13.77,1.532,2023-08-22 01:18:00,2023-08-24 01:18:00,2023-08-23 13:18:00,2,True,2023-08-22 01:18:00
26,29,InPost,InPost-771811375,6.92,2.438,2023-11-20 21:15:00,2023-11-22 21:15:00,2023-11-22 09:15:00,2,True,2023-11-20 21:15:00
27,30,InPost,InPost-852734778,7.55,3.0,2023-10-20 21:22:00,2023-10-23 21:22:00,2023-10-23 20:22:00,3,True,2023-10-20 21:22:00
28,32,DPD,DPD-649430577,17.13,0.947,2023-03-06 15:53:00,2023-03-08 15:53:00,2023-03-08 09:53:00,2,True,2023-03-06 15:53:00
29,33,UPS,UPS-901340227,17.46,1.535,2023-10-28 23:31:00,2023-10-31 23:31:00,2023-10-31 21:31:00,3,True,2023-10-28 23:31:00
30,34,DPD,DPD-777728939,12.3,2.012,2023-07-22 18:20:00,2023-07-24 18:20:00,2023-07-24 14:20:00,2,True,2023-07-22 18:20:00
31,35,UPS,UPS-387044542,19.82,0.946,2023-11-18 21:18:00,2023-11-20 21:18:00,2023-11-20 16:18:00,2,True,2023-11-18 21:18:00
32,37,DHL,DHL-171034161,15.97,1.675,2023-09-06 00:25:00,2023-09-09 00:25:00,2023-09-08 19:25:00,3,True,2023-09-06 00:25:00
33,38,InPost,InPost-706081749,12.55,1.358,2023-03-18 00:25:00,2023-03-20 00:25:00,2023-03-19 22:25:00,2,True,2023-03-18 00:25:00
34,39,InPost,InPost-309011774,9.55,1.073,2023-09-17 05:55:00,2023-09-19 05:55:00,2023-09-18 21:55:00,2,True,2023-09-17 05:55:00
35,41,InPost,InPost-770944464,9.25,1.36,2023-12-15 18:19:00,2023-12-17 18:19:00,2023-12-17 12:19:00,2,True,2023-12-15 18:19:00
36,44,DPD,DPD-771193593,10.53,7.34,2023-02-27 22:16:00,2023-03-01 22:16:00,2023-03-01 18:16:00,2,True,2023-02-27 22:16:00
37,45,DHL,DHL-494536789,22.83,3.768,2023-12-11 06:34:00,2023-12-13 06:34:00,2023-12-13 03:34:00,2,True,2023-12-11 06:34:00
38,46,DPD,DPD-630764653,13.71,1.15,2023-06-04 16:49:00,2023-06-06 16:49:00,2023-06-06 16:49:00,2,True,2023-06-04 16:49:00
39,47,InPost,InPost-110995158,6.67,2.934,2023-04-14 21:37:00,2023-04-16 21:37:00,2023-04-16 18:37:00,2,True,2023-04-14 21:37:00
40,48,InPost,InPost-899127463,12.63,2.546,2023-10-08 04:59:00,2023-10-10 04:59:00,2023-10-09 18:59:00,2,True,2023-10-08 04:59:00
